Nombre,Twitter_ID,Genero,Something,Partido,Ciudad
Partido Nacional,pnacional,,,Nacional,Montevideo
Pancho Gallinal,panchogallinal,,,Nacional,Montevideo
Luis Alberto Heber,luisaheber,,,Nacional,Montevideo
Gustavo Borasari,borsarigustavo,,,Nacional,Montevideo
Jorge Gandini,jorgegandini,,,Nacional,Montevideo
Ana Lia Pineyrua,analiapineyrua,,,Nacional,Montevideo
Jorge Saravia,senadorsaravia,,,Nacional,Montevideo
Sergio Abreu,sergioabreu,,,Nacional,Montevideo
Jose Carlos Cardoso,dipjosecarlos,,,Nacional,Montevideo
Veronica Alonso,veronica_alonso,,,Nacional,Montevideo
Jaime Mario Trobo,jaimetrobo,,,Nacional,Montevideo
Pablo Mieres,pablo_mieres,,,Independiente,Montevideo
Gustavo Penades,gustavopenades,,,Nacional,Montevideo
Beatruz Argimon,beatrizargimon,,,Nacional,Montevideo
Anibal Gloodtdofsky,a_gloodtdofsky,,,Colorado,Montevideo
Pablo Abdala,pabloabdala66,,,Nacional,Montevideo
Jorge Larrañaga,jorgewlarranaga,,,Nacional,Montevideo
Jose Amorin Batlle,jgamorin,,,Colorado,Montevideo
Pedro Bordaberry,pedrobordaberry,,,Colorado,Montevideo
Martin Pitetta,martnpitetta,,,Frente Amplio,Paysandú
Corriente de Acción y Pensamiento - Libertad,caplibertad,,,Frente Amplio,Uruguay
Claudia Visillac,ClaudioVisillac,,,Frente Amplio,Montevideo
Lilliana Pertuy,lilianapertuy,,,Frente Amplio,Montevideo
Sergio Pereyra,SPereyra646,,,Frente Amplio,Montevideo
Pablo da Silveira,pdasilve,,,Nacional,Uruguay
Abreu Presidente,AbreuPresidente,,,Nacional,Uruguay
Patricia Soria,PatoVamosMdeo,,,Colorado,Montevide
Felipe Schipanui,felipeschipani,,,Colorado,Montevideo
Hugo Fernandez Faingold,HUGOFF47,,,Colorado,Montevideo
Cecilia Eguiluz,CeciliaEguiluz,,,Colorado,Montevideo
Edgardo Martinez Zimarioff,zimarioff,,,Colorado,Montevideo
Miguel Manzi,MiguelManzi,,,Colorado,Montevideo
Ronald Pais,ronaldpais1,,,Colorado,Uruguay
Alejandor Domostoj,adomostoj,,,Frente Amplio,Uruguay
Pablo Cabrera,pcabreracofe,,,Frente Amplio,Uruguay
Juan Chiruchi,JuanChiruchi,,,Nacional,Uruguay
Nicolas Pereira,NicoPereiraC,,,Frente Amplio,Canelones
Nicolas Ambrosi,nicolasambrosi,,,Frente Amplio,Uruguay
Juan Mnauel Rodriguez,_RodriguezJuan_,,,Nacional, Uruguay
Gonzalo Baroni,BaroniCandanga,,,Nacional,Uruguay
Gustavo Delgado,GustDelgado,,,Nacional,Uruguay
Gimena Urta,gimeur,,,Frente Amplio,Uruguay
Jerónimo Roca,jeronimo_roca,,,Frente Amplio,Uruguay
Martin Fernandez,mfernandez33,,,Nacional,Uruguay
