user_name,account_type,state,party,office,first_name,last_name,middle_name,suffix
SenStabenow,official,MI,d,Senator,Debbie,Stabenow,"",""
RepChuck,official,TN,r,House Representative,Chuck,Fleischmann,,
RepCanseco,official,TX,r,House Representative,Francisco,Canseco,,
RepCharlesBass,official,NH,r,House Representative,Charlie,Bass,"",""
BruceBraley,official,IA,d,House Representative,Bruce,Bailey,"",""
RepRickCrawford,official,AR,r,House Representative,Rick,Crawford,"",""
RepSteveIsrael,official,NY,d,House Representative,Steve,Israel,"",""
SenBlumenthal,official,CT,d,Senator,Richard,Blumenthal,"""Dick""",""
LamarSmithTX21,official,TX,r,House Representative,Lamar,Smith,"",""
RepRaulGrijalva,official,AZ,d,House Representative,Raúl,Grijalva,"",""
RoyBlunt,official,MO,r,Senator,Roy,Blunt,"",""
RepRonPaul,official,TX,r,House Representative,Ron,Paul,,
RepRonKind,official,WI,d,House Representative,Ron,Kind,,
SenToomey,official,PA,r,Senator,Pat,Toomey,"",""
RepDennisRoss,official,FL,r,House Representative,Dennis,Ross,,
SenPatRoberts,official,KS,r,Senator,Pat,Roberts,"",""
LEETERRYNE,official,NE,r,House Representative,Lee,Terry,"",""
RepTomPrice,official,GA,r,House Representative,Tom,Price,,M.D.
CongMikeSimpson,official,ID,r,House Representative,Mike,Simpson,,
RepEdWhitfield,official,KY,r,House Representative,Ed,Whitfield,"",""
JohnCornyn,official,TX,r,Senator,John,Cornyn,"",""
maziehirono,official,HI,d,Senator,Mazie,Hirono,"",""
RepGusBilirakis,official,FL,r,House Representative,Gus,Bilirakis,,
SenatorSnowe,official,ME,r,Senator,Olympia,Snowe,J.,
RepGregoryMeeks,official,NY,d,House Representative,Gregory,Meeks,,
HerreraBeutler,official,WA,r,House Representative,Jaime,Herrera Beutler,"",""
RepMoBrooks,official,AL,r,House Representative,Mo,Brooks,"",""
RepJimMcDermott,official,WA,d,House Representative,Jim,McDermott,"",""
RepTrentFranks,official,AZ,r,House Representative,Trent,Franks,"",""
RepDianaDeGette,official,CO,d,House Representative,Diana,DeGette,,
RepScottRigell,official,VA,r,House Representative,Scott,Rigell,"",""
MarshaBlackburn,official,TN,r,House Representative,Marsha,Blackburn,"",""
SenToddYoung,official,IN,r,Senator,Todd,Young,,
SenatorBarb,official,MD,d,Senator,Barbara,Mikulski,,
MarkUdall,official,CO,d,Senator,Mark,Udall,"",""
